News_Source,Bias,Reporting,Country,Credibility,Media_Type,Traffic,Popularity_Estimate,link
SciTechDaily,Pro-Science,High,United States,Medium Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/scitechdaily/
SC Kansas News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sc-kansas-news-bias/
South China Morning Post,Left-Center,Mixed,Hong Kong SAR China,Medium Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/south-china-morning-post/
The Morning News,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-morning-news-bias/
Scoopnest,Least Biased,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/scoopnest/
ScoopWhoop,Left-Center,Mixed,India,Medium Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/scoopwhoop/
Scope Ratings,Right-Center,Mostly Factual,Germany,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/scope-ratings/
The Scotsman,Least Biased,High,United Kingdom,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/the-scotsman/
Scottsdale Progress,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/scottsdale-progress-bias/
Scottdale Airpark News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/scottdale-airpark-news-bias/
SCOTUSblog,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/scotusblog/
Scripps Institution of Oceanography,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/scripps-institution-oceanography/
Scroll.in,Left-Center,Mostly Factual,India,High Credibility,,High Traffic,High Traffic,https://mediabiasfactcheck.com/scroll-in/
St. Cloud Times,Least Biased,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/st-cloud-times/
SE Alaska News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-alaska-news/
SE Arizona News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-arizona-news/
SE Atlanta News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-atlanta-news/
CBS Seattle - CW 11,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/cbs-seattle-cw-11-bias/
Seattle Times,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/seattle-times/
SE Bluegrass News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-bluegrass-news-bias/
SE Colorado News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-colorado-news/
2nd Amendment Daily News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/2nd-amendment-daily-news/
Second Nexus,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/second-nexus/
SE Connecticut News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-connecticut-news/
Secure America Now,Questionable Sources,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/secure-america-now/
Alliance For Securing Democracy,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alliance-securing-democracy/
SE Denver News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-denver-news/
Seeker,Pro-Science,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/seeker-daily/
SE Georgia News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-georgia-news/
SE Grand Rapids News,Questionable Sources,High,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-grand-rapids-news-bias/
SE Illinois News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-illinois-news-bias/
SE Indiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-indiana-news/
SE Iowa News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-iowa-news-bias/
SE Kansas News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-kansas-news-bias/
SE Kentucky News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-kentucky-news-bias/
SE LA Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-la-times/
Self Magazine,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/self-magazine-bias/
Selma Times-Journal,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/selma-times-journal-bias/
Semafor,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/semafor-bias/
Sentencing Project,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sentencing-project/
Sentinel KSMO,Right,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sentinel-ksmo/
SE Oakland News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/se-oakland-news-bias/
Seventeen,Left,High,United States,High Credibility,,High Traffic,High Traffic,https://mediabiasfactcheck.com/seventeen/
San Francisco Bay View,Left,Mostly Factual,United States,Medium Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/san-francisco-bay-view/
San Francisco Chronicle,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/san-francisco-chronicle/
SFGate,Left-Center,High,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/sfgate/
SFV Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sfv-today/
SGV Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sgv-standard/
San Gabriel Valley Tribune,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/san-gabriel-valley-tribune-bias/
Shadow Proof,Left,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shadow-proof/
Shafaq News,Questionable Sources,Mixed,Iraq,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/shafaq-news/
Shareably,Least Biased,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/shareably/
ShareBlue,Left,Mixed,United States,Medium Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shareblue/
SharylAttkisson.com,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sharylattkisson-com/
Bureau County Republican,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/bureau-county-republican-bias/
The Daily Chronicle,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-daily-chronicle/
"The Times (Ottawa, illinois)",Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-times-ottawa-illinois-bias/
Forreston Journal,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/forreston-journal-bias/
Mt Morris News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/mt-morris-times-bias/
Oregon Republican Reporter,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/oregon-republican-reporter-bias/
Tri-County Press,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/tri-county-press-bias/
Sauk Valley Gazette,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sauk-valley-gazette-bias/
Sauk Valley Telegraph,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sauk-valley-telegraph-bias/
Shelby County Reporter,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shelby-county-reporter-bias/
Alabaster Reporter,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alabaster-reporter-bias/
Pelham Reporter,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/pelham-reporter-bias/
Shelbyvill News,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shelbyville-news-bias/
Shelby Review,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shelby-review-bias/
Shiawassee Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shiawassee-times-bias/
Shoals Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shoals-today/
Shoebat,Conspiracy-Pseudoscience,Low,United States,Low Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shoebat/
Shondaland,Left,Mostly Factual,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/shondaland/
Shore News Network,Right,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shore-news-network-bias/
Shorenstein Center,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shorenstein-center/
Shreveport Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shreveport-reporter-bias/
Shreveport Times,Least Biased,High,United States,High Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/shreveport-times/
SHTFplan.com,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/shtfplan-com/
Sky-Hi News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sky-hi-news-bias/
Sierra Sun,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sierra-sun-bias/
Significance Magazine,Pro-Science,High,United Kingdom,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/significance-magazine/
Staten Island Advance,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/staten-island-advance/
Southern Illinois News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/southern-illinois-news-bias/
Alliston Herald,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alliston-herald-bias/
Barrie Advance,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/barrie-advance-bias/
Innisfil Journal,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/innisfil-journal-bias/
Midland Mirror,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/midland-mirror-bias/
Simple Politics,Least Biased,High,United Kingdom,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/simple-politics/
SingularityHub,Pro-Science,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/singularityhub/
Sioux City Journal,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sioux-city-journal/
Sioux City Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sioux-city-times-bias/
KBVK - Sioux City News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/kbvk-sioux-city-news-bias/
KMEG - Sioux City News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/kmeg-sioux-city-news/
KPTH - Sioux City News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/kpth-sioux-city-news-bias/
KPTP - Sioux City News,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/kptp-sioux-city-news/
The State Journal-Register,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-state-journal-register-bias/
St. John News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/st-john-news-bias/
The Skeptics Dictionary,Pro-Science,Very High,United States,High Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-skeptics-dictionary/
Skeptic Magazine,Pro-Science,High,United States,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/skeptic-magazine/
Skeptical Inquirer,Pro-Science,Very High,United States,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/skeptical-inquirer/
Skeptical Raptor,Pro-Science,Mixed,Canada,High Credibility,,No Data,No Data,https://mediabiasfactcheck.com/skeptical-raptor/
Skeptical Science,Pro-Science,Very High,Australia,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/skeptical-science/
SkepticInk,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/skeptic-ink/
Australian Skeptics Inc.,Pro-Science,High,Australia,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/australian-skeptics-inc/
Skeptiko,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,,No Data,No Data,https://mediabiasfactcheck.com/skeptiko/
Skeptoid,Pro-Science,Very High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/skeptoid/
Sky and Telescope,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,No Data,No Data,https://mediabiasfactcheck.com/sky-and-telescope/
Sky News Australia,Right,Mixed,Australia,Medium Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/sky-news-australia/
Slate,Left,Mostly Factual,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/slate/
SLO Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/slo-reporter/
SmartNews,Least Biased,Mixed,Japan,Medium Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/smartnews/
The Sydney Morning Herald,Left-Center,High,Australia,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/the-sydney-morning-herald/
Smirking Chimp,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/smirking-chimp/
Smithsonian Magazine,Pro-Science,Very High,United States,High Credibility,Magazine,High Traffic,High Traffic,https://mediabiasfactcheck.com/smithsonian-magazine/
Santa Monica Observer,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/santa-monica-observer/
Sputnik News Agency - Germany,Questionable Sources,Very Low,Russia,Low Credibility,News Agency,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sputnik-news-agency-germany/
Snopes,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/snopes/
Snopes.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/snopes-news/
The Sociable,Least Biased,High,Ireland,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-sociable/
SocialistWorker.org,Left,High,United States,High Credibility,,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/socialistworker-org/
Social Media Today,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/social-media-today-bias/
Society for Science,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/society-for-science/
SOFREP,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sofrep/
"Sohu,com",Questionable Sources,Mixed,China,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/sohu-com/
Sojourners,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sojourners-soho/
Solano Sun,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/solono-sun/
Marlboro Enquirer-Gazette,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/marlboro-enquirer-gazette/
The Enterprise (Maryland),Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-enterprise-maryland-bias/
Maryland Independent,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/maryland-independent-bias/
Calvert Recorder,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/calvert-recorder-bias/
Sonoran News,Right,Mostly Factual,United States,Medium Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sonoran-news/
Sons of 1776,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/sons-of-1776/
The Sons of Liberty Media,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/fake-news/
SooToday.com,Left-Center,High,Canada,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/sootoday-com/
Signs of the Times (SOTT),Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/signs-of-the-times-sott/
South Africa Today,Questionable Sources,Mixed,South Africa,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-africa-today/
South Alabama Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-alabama-times/
South Alameda News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-alameda-news/
South Atlanta News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-atlanta-news/
South Bay Leader,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-bay-leader/
South Bay SD News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-bay-sd-news/
South Bend Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-bend-times-bias/
South Bend Tribune,Least Biased,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/south-bend-tribune/
South Birmingham Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-birmingham-times/
South Broward News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-broward-news/
South Central Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-central-reporter/
New Bedford Standard-Times,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/new-bedford-standard-times-bias/
South Cook News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-cook-news-bias/
South DSM News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-dsm-news-bias/
Southern Indiana Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/southern-indiana-today-bias/
Southfront,Conspiracy-Pseudoscience,Low,Russia,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/south-front/
South Fulton Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-fulton-today/
South Georgia Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-georgia-times/
South Gwinnett News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-gwinnett-news/
South Indy News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-indy-news-bias/
South Iowa News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-iowa-news/
South Jefferson County News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-jefferson-county-news/
South Kent news,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-kent-news-bias/
South Lake Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-lake-today/
South Louisiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-louisiana-news-bias/
South Maine News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-maine-news-bias/
South Miami-Dade News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-miami-dade-news/
South Michigan News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-michigan-news-bias/
South News Castle News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-new-castle-news/
South OC Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-oc-times/
South Orlando News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-orlando-news/
South Palm Beach Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-palm-beach-today/
South Pima News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-pima-news/
South Pinellas Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-pinellas-times/
South Sacramento Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-sacramento-today/
South SF Bay News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-sf-bay-news/
South SFV Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-sfv-today/
South SGV News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-sgv-news/
South Wichita News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/south-wichita-news-bias/
Space.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/space-news/
The Spectator (uk),Right-Center,Mostly Factual,United Kingdom,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-spectator-uk/
American Spectator,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-spectator/
The Spectator (USA),Right-Center,Mostly Factual,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-spectator-usa/
The Spectator World,Right-Center,Mostly Factual,United Kingdom,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-spectator-world-bias/
Spectrum Local News,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/spectrum-news-bias/
Worcester - Spectrum News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/worcester-spectrum-news/
Spectrum Report,Least Biased,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/spectrum-report/
Speech Point,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/speech-point/
