veracity,Claim_by,Claim
FALSE,Claim by America First Political Committee, Carlos Gimenez “wants a national database to track you and discriminate against you.”
BLATANT LIE,Claim by toddstarnes.com, 4-Year-Old Cancer Patient Denied Make-A-Wish Over Vax Status.
FALSE,Claim by Viral Image, Claims that all transactions totaling over $600 made on third-party payment apps like Venmo and PayPal will now be subject to taxes.
TRUE,Claim by Roger Williams (R), “The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.”
FALSE,Claim by Daniel Horowitz (The Blaze), “The shots were not studied in pregnant women”; “we have seen 50 times the rate of reporting [in VAERS] per month of miscarriages for this vaccine than the other vaccines put together.”
FALSE,(International, COVID-19 vaccine ingredients are not disclosed.
FALSE,Claim by TrialSite News, The ‘CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel’ cannot differentiate between Covid-19 and flu.
BLATANT LIE,Claim by Viral Image, Stallone wore an anti-Joe Biden and anti-Anthony Fauci shirt.
BLATANT LIE,Claim by Law Enforcement Today, Washington state is considering a proposal to create internment camps for the unvaccinated.
BLATANT LIE,Claim via Social Media, Post claims Bill Gates call for withdrawal of COVID-19 vaccines.
BLATANT LIE,Claim by The Expose," By the end of January 2022, all vaccinated Germans will have AIDS and be 100% more vulnerable to Covid infections."
FALSE,(International, “U.S. Navy threatens livelihoods in South China Sea”
FALSE,Claim via Social Media, Photos show electric cars discarded in a garbage dump after batteries failed.
BLATANT LIE,Claim via Viral Image, An email shows that employers are requiring employees to wear masks during Zoom meetings.
BLATANT LIE,Claim by author Alex Berenson, “Danish researchers […] found protection against Omicron turned negative three months after the second dose”
FALSE,Claim via Social Media, “Half a million sharks could be killed to make the COVID-19 vaccine.”
FALSE,Claim via Social Media, Ronald McDonald House Is Evicting All Unvaccinated Children.
FALSE,(International, Barack Obama addressing people of Kenya prior to the 2022 General Elections.
FALSE,Claim via Social Media," If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”"
BLATANT LIE,Claim via Social Media, Site Selling Discounted Stamps Is Official United States Postal Service.
BLATANT LIE,Claim via Social media," Ocasio-Cortez tweeted she got COVID-19 because of climate change, racism."
MOSTLY TRUE,Claim by Ralph Northam (D)," “We’ve brought in more than $81 billion in economic investment, more than four times any previous administration.”"
FALSE,Claim via Social media, Washington board will vote on using police to enforce child vaccine mandate
FALSE,(International," “Following the air crash, relevant organizations in the Islamic Republic of Iran declared the main cause of the accident and fulfilled their responsibilities and duties with accuracy, transparency and speed.”"
FALSE,Claim via Social Media," “The Wisconsin voter roll has over 120,000 active voters who have been registered to vote for over 100 years.”"
BLATANT LIE,Claim via Social Media, CDC Will Begin To Provide Data On How Many US Deaths Are ‘from’ COVID And How Many Are ‘with’ COVID.
FALSE,Claim by the Gateway Pundit, 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”
TRUE,Claim via Social Media, An image shows a flyer of an After School Satan Club.
BLATANT LIE,Claim via Social Media, U.S. Supreme Court Justice Neil Gorsuch said the flu kills “hundreds of thousands of people every year.”
FALSE,(International," A law authored by opposition vice presidential candidate Francis “Kiko” Pangilinan allows minors to go scot-free even after committing crimes such as robbery with murder, rape with murder, and rape."
FALSE,Claim by Joe Biden (D)," As a youth, “I got arrested” protesting for civil rights."
BLATANT LIE,Claim by thetruedefender.com, Video Shows New York Times Editor Who Died Of A Heart Attack Bragging After Getting Third COVID Shot.
MOSTLY FALSE,Claim by Joe Manchin III (D), The filibuster is “the tradition of the Senate here in 232 years now. … We need to be very cautious what we do. … That’s what we’ve always had for 232 years. That’s what makes us different than any place else in the world.”
FALSE,Claim by Tim Baxter (R), Says Alexandria Ocasio-Cortez “says that all young people want to be socialists.”
BLATANT LIE,Claim by Viral Video, A video purportedly shows President Joe Biden being berated by a Mack Truck worker.
FALSE,(International, The latest data from the UKHSA appears to show Covid-19 vaccines do not prevent hospitalisation or death from the disease.
TRUE,Claim by Jen Psaki (D)," “You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”"
BLATANT LIE,Claim via Social Media, Wisconsin had an active voter turnout of 93.7%.
MOSTLY FALSE,Claim by Donald Trump (R), Democrats “are trying to ban voter ID.”
FALSE,Claim by Joe Biden (D), Biden claimed that former President Donald Trump voted by mail in the 2020 election.
FALSE,Claim by Roger Marshall (R)," Asked of Dr. Anthony Fauci, “Would you be willing to submit to Congress and the public a financial disclosure [form] that includes your past and current investments?”"
TRUE,(International, Niger has the highest fertility rate in Nigeria’s north-central zone.
TRUE,Claim by Iowa Senate Democrats," Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”"
BLATANT LIE,Claim by Bitchute Video, COVID-19 Vaccines Are Full Of Exclusive Nanotechnology to enslave the human species.
FALSE,Claim by Dana Perino, A law backed by Virginia Democrats barred local sheriffs from having military equipment that “would have come in very helpful” with the I-95 traffic jam.
FALSE,Claim by viral video, CDC Director Did Confess To At Least 4 Comorbidities In Over 75% Of COVID Deaths.
FALSE,Claim via Social Media, “Clarence Thomas’s wife was one of the organizers of Jan 6th”
MOSTLY FALSE,(International, Only two countries provide free rapid COVID-19 tests for their citizens.
MOSTLY TRUE,Claim by Beto O’Rourke (D)," “Expanding Medicaid, which if we had done at the beginning of the Abbott administration, would have brought in $100 billion to this state’s economy.”"
BLATANT LIE,Claim by Dr. Robert Malone, Booster COVID-19 vaccine doses can “shut down the immune response”; heart damage following vaccination is “quite frequent”; “many of these [SARS-CoV-2] mutations are being driven by the evolutionary selection caused by the vaccines”
FALSE,Claim by Dinesh D’Souza," Recently released Jan. 6 footage shows “these cops using massive amounts of force against unarmed Trump supporters, including women.”"
FALSE,Claim via Social Media, COVID-19 tests that are labeled “positive control swab” and “negative control swab” manipulated to deliver predetermined results.
FALSE,Claim via Social Media, President Joe Biden “has the lowest approval rating of any president ever.”
FALSE,(International, Face masks increase the risks of respiratory diseases.
FALSE,Claim via Social Media, Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.
BLATANT LIE,Claim by Viral image, Claims former South Carolina Rep. Trey Gowdy alleged the 2020 election was rigged through “treasonous acts.”
FALSE,Claim via Social Media, Pfizer made $37 billion in profit in its last quarter.
FALSE,Claim by World Net Daily (WND), “1 million COVID-vaccine injuries now reported on CDC’s database.”
UNPROVEN,Claim by Donald Trump (R)," “Where did all those votes show up from in Georgia, where it was just revealed they sold ballots for $10 a piece,”"
FALSE,(International, Photo of huge crowd at Kenyan deputy president’s rally
FALSE,Claim by DJHJ Media, Says Georgia Secretary of State Brad Raffensperger “to investigate himself over voter fraud.”
BLATANT LIE,Claim by Hal Turner Radio Show, SARS-CoV-2 is ‘Chimeric Virus’ — made by joining two viruses together to form new organism. It IS Man-Made!”
FALSE,Claim by Joe Volk," “In Wisconsin, we have 50% of the population paying 50%, 60%, 70%, sometimes 80% for their housing.”"
FALSE,Claim by the Washington Times, “COVID-19 shots are not vaccines” because they don’t “prevent one from becoming infected”
FALSE,Claim by Ron Johnson (R)," Sadly, we passed two milestones on VAERS. Over 1 million adverse events and over 21,000 deaths. 30% of those deaths occurred on day 0, 1, or 2 following vaccination."
FALSE,(International, Video shows muslim men making girls unconscious and taking advantage.
FALSE,Claim by Sonia Sotomayor," “We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus."
BLATANT LIE,Claim by Dr. Rober Malone," “mass formation psychosis” is a phenomenon that occurred in 1920s and 30s Germany when a highly educated population “went barking mad, and that is what’s happened here,” he said, referring to the COVID-19 pandemic"
FALSE,Claim by Rand Paul (R), “No one has been hospitalized for” the omicron variant of COVID-19.”
FALSE,Claim via social media, only 56 people die per day from COVID-19.
FALSE,Claim by Alpha News, “Data from around the world suggests that omicron favors the fully vaccinated.”
FALSE,(International, The Premier of Western Australia faked getting the third dose of the COVID-19 vaccine.
BLATANT LIE,Claim via Social Media," When children are given vaccines for COVID-19, “a viral gene will be injected into your children’s cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.”"
BLATANT LIE,Claim via Social Media, “flurona” a new cross-breed virus resulting from combination of the SARS-CoV-2 virus and seasonal influenza.
FALSE,Claim via Social Media, Dr. Fauci gains profits from pharmaceutical companies.
TRUE,Claim via Social Media," Former U.S. Vice President Mike Pence warned on Jan. 6, 2021, that pro-Trump rioters would be “prosecuted to the fullest extent of the law.”"
FALSE,Claim by The Raging Patriot," “Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence.’”"
FALSE,(International, Narendra Modi government’s Cabinet Committee on Security called for the removal of Sikhs from the Indian Army.
FALSE,Claim by We Love Trump, New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”
BLATANT LIE,Claim via social media, Fox News reported that Trump “vowed to pardon Ghislaine Maxwell if he wins in 2024.”
FALSE,Claim via Social Media, Tylenol “ruins your ability to kill” COVID-19.
TRUE,Claim by American Thoracic Society Critical Care Assembly, The math+ protocol retracted from Journal of Intensive Care Medicine.
FALSE,Claim by Save America PAC, President Joe Biden “never had a” COVID-19 “plan.”
FALSE,(International, Kris Aquino stole the jewelry of Imelda Marcos
MOSTLY FALSE,Claim via Social Media, “It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.
BLATANT LIE,Claim by Ted Nugent," Dr. Fauci is a lying prick. The CDC, FDA and US government are criminal anti-American devilgangs. It’s not a vaccine its a deadly xperimental shot."
FALSE,Claim by Principia Scientific International, 89% Of New UK COVID Cases Among Fully Vaxxed”
BLATANT LIE,Claim via Social Media, “Jan. 6 was NOT an insurrection…but Nov. 4 at 3 a.m. was!”
FALSE,Claim via Social Media," “JUST IN – Robert Koch Institute report released today states that 95.58% of the #Omicron cases in Germany are fully vaccinated (28% of those had a “booster”), 4.42% are unvaccinated.”"
FALSE,(International, The Commission on Elections second division has dismissed the disqualification petition against presidential aspirant Bongbong Marcos
MOSTLY FALSE,Claim via Social Media," “By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.”"
BLATANT LIE,Claim via Social Media, Can hydroxychloroquine be made at home by boiling grapefruit and lemon peels in water?
MOSTLY FALSE,Claim by Derrick Van Orden (R)," Actions by Joe Biden left “10,000 – 15,000 American citizens abandoned to terrorists in Afghanistan.”"
BLATANT LIE,Claim via Social Media, Amazon launched a presale of a new Amazon Token cryptocurrency.
FALSE,Claim via Social Media, Vaccines are why flights have been shut down worldwide.
FALSE,(International, Samajwadi Party chief Mulayam Singh Yadav has said recently that he feels the BJP might come to power in UP.
FALSE,Claim by Congressional Progressive Caucus PAC, “Trump cut Social Security benefits by over $3 billion.”
BLATANT LIE,Claim by Armstrong Economics, “CDC admits that COVID tests are invalid.”
BLATANT LIE,Claim via Social Media, A video clip shows a failed attempt by China to launch airstrikes near Taiwan.
BLATANT LIE,Claim via Social Media," On Dec. 28, 2021, three days before her death, Betty White said “Eat healthy and get all your vaccines. I just got boosted today.”"
BLATANT LIE,Claim by The Vault Project, “Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”
FALSE,(International, Video shows kidnapper caught while trying to kidnap a toddler inside travel bag.
FALSE,Claim via Social Media, The Brain Has 7 Minutes Of Activity After Death.
BLATANT LIE,Claim by Social media," CDC withdraws use of PCR test, admits it can’t tell flu from COVID-19."
TRUE,Claim via Social Media, The Alexa voice on an Amazon Echo device challenged a 10-year-old girl to touch a penny to the exposed prongs of a plug halfway inserted into an electrical socket.
BLATANT LIE,Claim by Viral Rumor, the new CNN program hosted by journalist Chris Wallace debuted with the “lowest ratings in cable news history.”
FALSE,Claim by Viral Post, flu cases being instead counted as COVID-19 cases was the reason for low flu activity during the 2020-2021 flu season.
FALSE,(International, Samajwadi Party chief Mulayam Singh Yadav has said recently that he feels the BJP might come to power in UP.
FALSE,Claim by roguereview.net, Vaccinated People Are More Likely To Be Infected Than Those Without The Shot
BLATANT LIE,Claim by Viral Post, flu cases being instead counted as COVID-19 cases was the reason for low flu activity during the 2020-2021 flu season.
TRUE,Claim via Social Media," Guidelines published by the IRS ahead of the 2022 tax year explained how taxpayers can claim items they have stolen, or earnings from illegal activities."
BLATANT LIE,Claim by Viral Image, a book about the omicron variant was published by White House chief medical adviser Dr. Anthony Fauci’s sister named Dr. Angelique Fauci.
MISLEADING,Claim via Social Media, Military bases in United States are housing undocumented immigrants
FALSE,(International, British chef Jamie Oliver wins “legal battle” against McDonald’s over “pink slime”
FALSE,Claim by Viral Image, Biden said he wanted to resume building Trump’s wall.
BLATANT LIE,Claim by Social media users," Jen Psaki said, ‘If you don’t buy anything, you won’t experience inflation’"
TRUE,Claim via Social Media, NASA provided $1.1 million in funding to a religious organization to study how humans may react to life beyond Earth.
BLATANT LIE,Claim by Todd Starnes, Covid-19 cases in 2020 were actually the flu.
FALSE,Claim via Social Media, Covid-19 patient in hospital video is a crisis actor.
FALSE,(International, Images show roads in the Democratic Republic of the Congo before and after a project with Uganda.
FALSE,Claim via Social Media, “Anderson Cooper floating the idea of withholding SS from the unvaxxed. Hope you enjoy what you voted for commies.”
BLATANT LIE,Claim via Social Media, Pfizer CEO Bourla talking about the microchip that will be in medications.  Sounds normal right?? Just a conspiracy theory?
TRUE,Claim by Donald Trump (R), COVID Testing has declined under Joe Biden.
BLATANT LIE,Claim via Social Media, COVID-19 vaccine caused football player Donald Parham Jr.’s heart to explode.
FALSE,Claim via Social Media, Dark colors on at home test strip shows COVID is in the water
FALSE,(International, Shah Jahan Chopped Off Hands Of Workers Who Built Taj Mahal
FALSE,Claim by Viral Image," President Joe Biden recently faked a visit to a children’s hospital in Washington, D.C"
BLATANT LIE,Claim via Alex Jones and Banned Video, Vaccines Cause Brain Damage
BLATANT LIE,Claim by Viral Video, purportedly shows a man who died two weeks after stating that he had an affair with former President Barack Obama.
FALSE,Claim via Blogger, We Can ‘Eat Our Way Out Of This Pandemic’ By Eating Leeks.
FALSE,Claim via Social Media, It Is ‘Odd’ That The COVID-19 Vaccine Was Developed So Quickly.
FALSE,(International, Congress party spokesman calls PM Modi a hero.
FALSE,Claim by Dr Robert Malone, mRNA COVID-19 are harmful for children.
BLATANT LIE,Claim via Social Media, Switzerland is the first country to approve “suicide chamber.”
BLATANT LIE,Claim by Viral Post, Washington University School of Medicine study found that COVID-19 infection confers protection for life.
FALSE,Claim via Social Media, Omicron Variant Of Covid-19 Is Spreading Faster Than Any Other Virus In History.
FALSE,Claim by Viral Video, purportedly shows Canadian Prime Minister Justin Trudeau stating that he was going to limit human rights.
FALSE,(International, Russia stands for equal and indivisible security throughout Eurasia.”
FALSE,Claim by Fox26 Newshenry," At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”"
BLATANT LIE,Claim by albertanationals.com, Symptoms of the Omicron Variant Used To Cover Up Effects of Covid Vaccines.
BLATANT LIE,Claim by Viral Image, A picture shared on Facebook purportedly shows a giant Nubian mummy that was found in North America.
FALSE,Claim via Social Media, OSHA Suspension Of Vaccine Mandate Announcement Is not all over the Media
FALSE,Claim by Viral Video," The military arrested Anita Dunn, a former senior adviser to President Joe Biden."
FALSE,(International," 400 children were treated in one week for adverse reactions to COVID-19 shots at a hospital in Calgary, Canada."
FALSE,Claim via Social Media, NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.
BLATANT LIE,Claim by Viral Post, only one person in the world has died from the omicron variant of coronavirus
BLATANT LIE,Claim via Social Media, Tesco’s pro-vaccine Christmas ad was removed after receiving backlash.
FALSE,Claim via Social Media," The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020."
MISLEADING,Claim by the Liberty Council, Reported Adverse Reactions To COVID Vaccines ARE Equal To Half Of All Adverse Reactions Reported For All Vaccines Over Last 30 Years
FALSE,(International," A Hindu woman was abducted outside a court in Umerkot, Pakistan."
FALSE,Claim via Social Media, The vaccines are being used to kill children.”
BLATANT LIE,Claim by biotechexpressmag.com," Team of 1,000 lawyers And 10,000 Medical Experts Did Not Start Nuremberg 2 Trial against World Leaders for Crimes Against Humanity"
BLATANT LIE,Claim via Social Media, People in their 20s have a “7 times higher risk of death after vaccination than from COVID”
FALSE,Claim by Peter McCullough via Joe Rogan Experience," the pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity”; VAERS shows vaccines killed thousands of people, vaccine-induced spike protein causes damage."
BLATANT LIE,Claim by Viral Image, the image shows the White House website saying President Joe Biden’s winter plan to fight COVID-19 includes putting Americans into quarantine centers
FALSE,(International, Photo shows Prime Minister Narendra Modi touched the feet of IAS officer Arti Dogra.
FALSE,Claim by Alexandria Ocasio-Cortez (D)," “I represent more, or just as many or more, people than Joe Manchin does.”"
BLATANT LIE,Claim by Viral Image," An image shared on Facebook purportedly shows a poster created by the World Health Organization that says, “We’re in this forever.”"
BLATANT LIE,Claim via Social Media, Hydroxychloroquine Does Decalcify The Pineal Gland.
FALSE,Claim via Social Media," “Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.”"
BLATANT LIE,Claim by Western Journal, a “game-changing study” showed that “COVID vaccines [were] more dangerous than the virus itself”; “children aged 12 to 17 are more likely to be hospitalized for myocarditis than for COVID.”
FALSE,(International, People with “natural immunity” from COVID-19 due to prior infection cannot catch the virus again.
MOSTLY FALSE,Claim by Joe Biden (D), People vaccinated for COVID-19 “do not spread the disease to anyone else.”
BLATANT LIE,Claim via Social Media, female Afghan pilot stoned to death in public.
BLATANT LIE,Claim by Viral video, COVID-19 is equivalent to the common cold.
FALSE,Claim by Clay Travis, More Americans died from COVID under Joe Biden than Donald Trump.
BLATANT LIE,Claim by Viral Image, An image shows a tweet from CNN about Coca-Cola changing its Santa Claus character from “a caucasian man to an afro-american man.”
FALSE,(International, 23.5 million people in England haven’t had a single dose of Covid-19 vaccine.
FALSE,Claim by DJHJ Media, Santa Claus was arrested by German police for not wearing a mask at a market.
BLATANT LIE,Claim by redvoicemedia.com, CDC Admits Vaccinated Parents Are Killing Unvaccinated Kids
BLATANT LIE,Claim by Steve Kirsch, “They’ve now killed close to twice as many kids from the vaccine as have died from COVID.”
TRUE,Claim by Jennifer Strahan (D), Marjorie Taylor Greene Owns Stock in Three Vaccine Manufacturers
BLATANT LIE,Claim by Viral Image, Vice President Kamala Harris tweeting that Kyle Rittenhouse created a specific Instagram account and that people should not follow it
FALSE,(International, “The Budapest Memorandum concerns security guarantees for Ukraine as a non-nuclear state … [A]ll guarantees have been provided and observed.”
MOSTLY FALSE,Claim by Joe Manchin (D)," The expanded child tax credit in the Build Back Better Act has “no means testing,” so people making $200,000 and $400,000 would get “the same as someone making” $70,000."
BLATANT LIE,Claim by Dr. Robert Malone, mRNA vaccines force “your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs”; “there is no benefit for your children or your family to be vaccinating your children”
FALSE,Claim via Social Media, “Maybe they’re just calling the common cold … the omicron variant.”
FALSE,Claim by Viral Image, claims that the Federal Emergency Management System (FEMA) arrived in Kentucky to provide relief to tornado-struck areas with more vaccines than other supplies.
BLATANT LIE,Claim by naturalnews.com," COVID Vaccine Spike Proteins Do Enter Cell Nuclei, Suppress DNA Repair, Or Unleash Cancer, Immunodeficiency, Autoimmune Disorders Or Accelerated Aging"
MOSTLY TRUE,(International," 100,000 people in Scotland currently suffering from long Covid"
FALSE,Claim via Social Media, It’s a myth that autism is genetic.
BLATANT LIE,Claim by frenchdailynews.com," 60,000 scientists call for an end to mass vaccination."
FALSE,Claim via Social media, An abstract published in an American Heart Association journal is “Proof the Covid Jab is Murder.”
TRUE,Claim by Jeff Lundeen, Jimmy Carter Stopped a Nuclear Reactor From Destroying Ottawa
BLATANT LIE,Claim by Daniel Horowitz (The Blaze), “Sweden obliterates the lie of ‘vaccines’ as ticket to ending pandemic” mass vaccination create vaccine-mediated viral enhancement
FALSE,(International, Malaysian police investigating ‘slash and grab’ robberies using business-card knives
BLATANT LIE,Claim via Social Media, “Boy passes Joe Biden a vial of fresh blood to drink on his way back to the White House.”
BLATANT LIE,Claim via Social Media, A probe found more ‘illegal votes’ in Wisconsin than Biden’s victory margin
NO EVIDENCE,"Claim by The Blaze, Gateway Pundit, Zero Hedge", A preprint of an ivermectin study in the Brazilian city of Itajaí found that prophylactic ivermectin reduced COVID-19 hospitalization and mortality by half
MOSTLY TRUE,Claim by Lee Zeldin (R)," “Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”"
BLATANT LIE,Claim via Social Media, The Salvation Army Mandated Critical Race Theory Training.
FALSE,(International, Police arrested a man dressed as Santa in Germany for refusing to wear a mask.
BLATANT LIE,Claim via Social Media, “McDonald’s puts aborted baby fetuses in their food.”
BLATANT LIE,Claim by Viral Image, shows CNN reporting on-air that Canadian Prime Minister Justin Trudeau was mentioned during a specific witness’s testimony during the Ghislaine Maxwell trial
FALSE,Claim by Gateway Pundit, A list of athletes injured by COVID-19 vaccines “shows that there may be something wrong with the vaccine.”
MOSTLY FALSE,"Claim by Donald Trump Jr, Mark Levin", Adam Schiff ‘Tampered’ With Jim Jordan January 6 Evidence
BLATANT LIE,Claim by Social media users, Dr. Anthony Fauci said a COVID-19 vaccine could make people worse
FALSE,(International," From 2014 -15, number of tourists in Varanasi have doubled in 2019-20"
BLATANT LIE,Claim via Social Media, Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.
BLATANT LIE,"Claim via Social media users, Donald Trump"," Nancy Pelosi rejected Donald Trump’s request for 10,000 National Guard troops to be deployed before Jan. 6."
MOSTLY TRUE,Claim by John McGuire (D), “Overdoses in Virginia (are) up 35%.”
NO EVIDENCE,Claim by westernjournal.com," 45,000 people died from COVID-19 vaccines."
BLATANT LIE,Claim via Social Media, The COVID-19 vaccines cause AIDS.
MOSTLY TRUE,(International, The percentage of the UK population who have received a booster vaccine is double that of the EU.
BLATANT LIE,Claim by Joe Biden (D), “I’ve been against that war in Afghanistan from the very beginning.”
BLATANT LIE,Claim by Viral Image, the image shows what scientists have predicted Earth “will look like in 20 years from space if we don’t reverse climate change” 
FALSE,Claim by Health Impact News," “2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women”"
FALSE,Claim by trendingpolitics.com, Dr. Fauci Admits That Covid Vaccines May Actually Make People ‘Worse’
BLATANT LIE,Claim by Viral Post, the World Economic Forum (WEF) reported about the omicron variant back in July.
FALSE,(International, Billboard shows New Zealand Prime Minister Jacinda Ardern telling Kiwis to get booster shot to get up to six months worth of freedoms.
FALSE,Claim via Social Media, Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.
BLATANT LIE,Claim by Viral Image, the image shows a 2014 tweet by astronaut Buzz Aldrin confessing that NASA’s Apollo mission to the moon were “staged.”
FALSE,Claim by Lindsey Graham (R), “The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”
HALF TRUE,Claim via Social Media, George Clooney rejected a $35 million offer from an Israeli airline to appear in a commercial because “he doesn’t support the occupation state of ‘Israel.”
BLATANT LIE,Claim by infowars.com, Pfizer Vaccine Document Says Thousands Were Killed By Shot In First Month
FALSE,(International," “New Zealand’s prime minister has given some Kiwis an early Christmas present as she announced that newly relaxed Covid-19 restrictions, based on a ‘traffic light system,’ allow for orgies of up to 25 people.”"
FALSE,Claim via Social Media, “Wisconsin 2020 election investigation finds more illegal votes were cast than Biden’s margin of victory.”
BLATANT LIE,Claim via Social Media, Mike Lindell Gives Closed-Door Testimonies Against Trump.
FALSE,Claim by Social media, Only 4 states still had mask mandates as of Nov. 30.
BLATANT LIE,Claim via Youtube Video, Japan Endorsed Ivermectin As COVID-19 Treatment To Send Cases Plummeting.
FALSE,Claim by Social media, Miscarriage is among the ‘tragic side effects’ of mRNA vaccines
FALSE,(International, More than a thousand new coal plants are being built around the world while Australia plans to shut down its remaining facilities.
BLATANT LIE,Claim by Ron Johnson (R)," Around the world, people who exercise their “health autonomy” and don’t get vaccinated are being put “basically into internment camps.”"
BLATANT LIE,Claim by The Post Millennial and Social Media, European Commission President Ursula von der Leyen called for scrapping the Nuremberg Code and forcing people to receive a COVID-19 vaccination.
FALSE,Claim via Social Media, First Bible printed in America was printed by Congress for use in our PUBLIC SCHOOLS.
BLATANT LIE,Claim via Social Media, A video shows the Michigan high school shooter impersonating a sheriff.
BLATANT LIE,Claim via Social media," WHO, other organizations linked to chart of ‘planned’ COVID-19 variants and ‘launch’ dates."
FALSE,(International, Indonesian civil service job vacancies given to Chinese citizens.
BLATANT LIE,Claim via Social Media," Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”"
FALSE,Claim by Young Americans for Liberty and Being Libertarian," “In Germany, a fence separates vaccinated and unvaccinated people. The biggest symptom of COVID is insanity”"
FALSE,Claim via Social Media," “The toxicity of COVID-Omicron is 5 times higher than that of the Delta variant, and the mortality rate is also higher than that of Delta.”"
BLATANT LIE,Claim by halturnerradioshow.com, Pilot Deaths Up 1700% after Vax Mandates.
BLATANT LIE,Claim via Social Media, Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”
FALSE,(International, Video shows the atrocities faced by minorities in Kashmir.
BLATANT LIE,Claim by Robert F. Kennedy/Children’s Health Defense, The COVID-19 vaccine is the “deadliest vaccine ever made.”
BLATANT LIE,Claim via Social Media, Ivanka Trump Is Joining The Democrats To Run Against Her Dad.
FALSE,Claim by Joe Biden (D)," “Americans on average have about $100 more in their pockets each month than they did last year, after accounting for inflation.”"
BLATANT LIE,Claim by Viral Post, A post shared on Facebook claims the omicron COVID-19 variant is named after a military code.
BLATANT LIE,Claim by bestnewshere.com," Former President George W. Bush Was Arrested On Veterans Day, Denied Tribunal Extension."
FALSE,(International," “As far as African countries are concerned, it is only Nigeria that has been taken off the impunity index.”"
MOSTLY FALSE,Claim by Sen. Ron Johnson (R)," “By the way, standard gargle, mouthwash, has been proven to kill the coronavirus. If you get it, you may reduce viral replication.”"
FALSE,Claim via Social Media, The CEO of BioNTech has not been vaccinated against COVID-19.
MOSTLY TRUE,Claim by Amy Klobuchar (D), “Over time there have been 160-some carve-outs to the filibuster.”
FALSE,Claim by Gateway Pundit, “antibodies that people produce against the coronavirus spike protein may lead to myocarditis.”
FALSE,Claim via Social Media," “The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”"
FALSE,(International, Nova Scotia put AEDs in schools because of Covid-19 vaccine side effects.
FALSE,Claim by Donald Trump (R), Gas prices were “$1.86 when I left” the White House.
FALSE,Claim via Social Media," Gasoline is $2.10 in Russia, $0.78 in Kuwait and $0.98 in Saudi Arabia."
MOSTLY FALSE,Claim by Alex Berenson, Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. … I don’t know how to explain this other than vaccine-caused mortality.”
BLATANT LIE,Claim via Social Media, 5G Millimeter Waves Causes Health Problems In Humans.
FALSE,Claim by Social media posts," Symptoms of the omicron variant include “Heart failure, Arrhythmia, Heart inflammation, Blood clots, Strokes, Peripheral Nerve Damage, Multi Organ Failure,” and are actually caused by COVID-19 vaccines."
FALSE,(International," Images show weapons seized in Debre Sina, Ethiopia."
MOSTLY TRUE,Claim by Joe Biden (D)," “Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”"
FALSE,Claim via Social media, Replacing cornfields with solar panels exacerbates climate change.
MOSTLY FALSE,Claim by Elise Stefanik (R), “Over 800 pounds of fentanyl were seized at our Southern Border in October. This is Biden’s Border Crisis.”
BLATANT LIE,Claim via Social media, Kyle Rittenhouse filed a defamation lawsuit against LeBron James.
